Empresa,Objetos
"COMERCIAL DE TRANSMISIONES, S.A.","['40', '73', '76', '84', '85', '40', '73', '76', '84', '85', '40', '73', '74', '75', '76', '77', '78', '79', '80', '81', '82', '83', '84', '85', '86', '87', '88', '89', '90', '91', '92', '93', '94', '95', '96', '97', '40', '73', '74', '75', '76', '77', '78', '79', '80', '81', '82', '83', '84', '85', '86', '87', '88', '89', '90', '91', '92', '93', '94', '95', '96', '97']"
TECNECO N.V.,"['39', '40', '68', '70', '72', '73', '74', '75', '76', '78', '82', '83', '84', '85', '87', '90', '91', '94', '96', '39', '40', '68', '70', '72', '73', '74', '75', '76', '78', '82', '83', '84', '85', '87', '90', '91', '94', '96', '39', '40', '68', '70', '72', '73', '74', '75', '76', '78', '82', '83', '84', '85', '87', '90', '91', '94', '96']"
"PRODUCTOS ROCHER (NICARAGUA), S.A.","['29', '30', '32', '33', '38', '90']"
ATAKA & CO. LTD.,"['2', '3', '4', '7', '8', '9', '10', '11', '12', '13', '14', '15', '16', '17', '18', '19', '20', '21', '22', '24', '25', '26', '28', '33', '40', '44', '55', '57', '58', '59', '63', '67', '68', '69', '72', '73', '74', '75', '76', '78', '79', '80', '82', '83', '84', '85', '86', '87', '88', '89', '90', '91', '2', '3', '4', '7', '8', '9', '10', '11', '12', '13', '14', '15', '16', '17', '18', '19', '20', '21', '22', '24', '25', '26', '28', '33', '40', '44', '55', '57', '58', '59', '63', '67', '68', '69', '72', '73', '74', '75', '76', '78', '79', '80', '82', '83', '84', '85', '86', '87', '88', '89', '90', '91', '2', '3', '4', '7', '8', '9', '10', '11', '12', '13', '14', '15', '16', '17', '18', '19', '20', '21', '22', '24', '25', '26', '28', '33', '40', '44', '55', '57', '58', '59', '63', '67', '68', '69', '72', '73', '74', '75', '76', '78', '79', '80', '82', '83', '84', '85', '86', '87', '88', '89', '90', '91', '2', '3', '4', '7', '8', '9', '10', '11', '12', '13', '14', '15', '16', '17', '18', '19', '20', '21', '22', '24', '25', '26', '28', '33', '40', '44', '55', '57', '58', '59', '63', '67', '68', '69', '72', '73', '74', '75', '76', '78', '79', '80', '82', '83', '84', '85', '86', '87', '88', '89', '90', '91']"
HEMO DIAGNOSTICA-S.R.L.,"['30', '38', '39', '84', '90', '94', '30', '38', '39', '84', '90', '94']"
DEVEXPORT,"['1', '4', '9', '18', '27', '28', '29', '30', '32', '34', '35', '38', '39', '40', '42', '44', '47', '48', '53', '56', '59', '68', '70', '72', '73', '74', '75', '76', '78', '79', '80', '81', '82', '83', '84', '85', '86', '87', '89', '90', '96', '1', '4', '28', '29', '30', '32', '39', '40', '42', '44', '48', '59', '68', '70', '72', '73', '74', '75', '76', '78', '79', '80', '81', '82', '83', '84', '85', '86', '87', '89', '90', '96', '1', '4', '32', '39', '40', '42', '44', '59', '68', '70', '72', '73', '74', '75', '76', '78', '79', '80', '81', '82', '83', '84', '85', '86', '87', '90', '96', '1', '4', '32', '39', '40', '42', '44', '59', '68', '70', '72', '73', '74', '75', '76', '78', '79', '80', '81', '82', '83', '84', '85', '86', '87', '90', '96']"
"BETA MUSIC SAS, S.A.","['58', '76', '85', '90', '92', '94', '58', '76', '85', '90', '92', '94']"
MITEL NETWORKS CORPORATION,"['49', '83', '85', '49', '83', '85', '49', '83', '85', '49', '83', '85']"
"MEDINABI RODAMIENTOS, S.L.","['27', '32', '34', '35', '38', '39', '40', '59', '70', '73', '82', '83', '84', '85', '87', '90', '91', '94']"
"SUR CONTINENTE, S.A.","['2', '3', '4', '7', '8', '9', '10', '11', '12', '15', '16', '18', '19', '20', '21', '22', '23', '25', '32', '34', '38', '39', '40', '42', '44', '47', '48', '52', '55', '58', '61', '62', '63', '64', '65', '68', '73', '82', '84', '85', '94', '2', '3', '4', '7', '8', '9', '10', '11', '12', '15', '16', '18', '19', '20', '21', '22', '23', '25', '32', '34', '38', '39', '40', '2', '3', '4', '7', '8', '9', '10', '11', '12', '15', '16', '18', '19', '20', '21', '22', '23', '25', '32', '34', '38', '39', '40', '2', '3', '4', '7', '8', '9', '10', '11', '12', '15', '16', '18', '19', '20', '21', '22', '23', '25', '32', '34', '38', '39', '40', '42', '44', '47', '48', '52', '55', '58', '61', '62', '63', '64', '65', '68', '73', '82', '84', '85', '94']"
NOVARTIS A.G.,"['12', '20', '21', '30', '38', '90', '12', '20', '21', '30', '38', '90', '12', '20', '21', '30', '38', '90', '12', '20', '21', '30', '38', '90']"
CORONADO Y SAQUILMER Y COMPAÑÍA LIMITADA,"['2', '3', '4', '7', '8', '9', '10', '11', '15', '16', '17', '18', '19', '20', '21', '22', '25', '28', '30', '31', '32', '33', '34', '35', '36', '38', '39', '40', '42', '44', '48', '49', '50', '51', '52', '53', '54', '55', '57', '58', '60', '61', '62', '63', '64', '65', '66', '68', '69', '70', '71', '73', '74', '76', '82', '83', '84', '85', '96']"
"REPRESENTACIONES CULTURALES, S.A. (RECSA) / EURO BUSINESS MARKET, S.L.","['32', '35', '37', '38', '39', '40', '42', '48', '49', '52', '57', '59', '61', '62', '63', '64', '65', '66', '69', '70', '83', '85', '90', '91', '95', '96', '32', '35', '37', '38', '39', '40', '42', '48', '49', '52', '57', '59', '61', '62', '63', '64', '65', '66', '69', '70', '83', '85', '90', '91', '95', '96']"
"CAMPAIOLI, S.R.L.","['28', '29', '32', '38', '39', '40', '41', '42', '44', '48', '52', '53', '54', '55', '56', '59', '64', '68', '69', '70', '72', '73', '74', '76', '78', '79', '80', '83', '84', '85', '90', '94']"
"ORONA, S. COOP.",['84']
